time,count·,v1,v2,V3,v4,v5,v6,v7,v8,,,,,,
117834095,3432,-0.009375,-0.075375,0.009562,0.077813,0.00375,0.00075,0.004125,0.001125,0,0,0,0,0,0
117834095,3435,-0.009,-0.0735,0.009188,0.076125,0.003937,0.001312,0.004312,0.001312,0,0,0,0,0,0
117971182,3436,-0.009563,-0.076312,0.009938,0.079312,0.004312,0.0015,0.004875,0.001875,0,0,0,0,0,0
117971182,3438,-0.009563,-0.076312,0.009938,0.079312,0.004312,0.0015,0.004875,0.001875,0,0,0,0,0,0
118073993,3439,-0.009375,-0.079688,0.009938,0.081375,0.00525,0.002438,0.005625,0.00225,0,0,0,0,0,0
118108268,3442,-0.009187,-0.077625,0.009188,0.080063,0.00525,0.00225,0.005437,0.00225,0,0,0,0,0,0
118211092,3443,-0.009,-0.080437,0.009,0.08325,0.0045,0.001312,0.005063,0.0015,0,0,0,0,0,0
118211092,3446,-0.009375,-0.077062,0.009375,0.079688,0.0045,0.001312,0.004687,0.0015,0,0,0,0,0,0
118348166,3447,-0.009563,-0.0765,0.009938,0.07875,0.0045,0.001312,0.004687,0.001875,0,0,0,0,0,0
118348166,3449,-0.009938,-0.078562,0.010125,0.08175,0.004125,0.000938,0.0045,0.001312,0,0,0,0,0,0
118450977,3450,-0.0105,-0.079875,0.0105,0.081937,0.004312,0.001125,0.0045,0.001688,0,0,0,0,0,0
118485253,3453,-0.0105,-0.078562,0.010875,0.080813,0.0045,0.001312,0.004875,0.001875,0,0,0,0,0,0
118588057,3454,-0.008438,-0.06975,0.008625,0.070875,0.0045,0.001875,0.0045,0.002062,0,0,0,0,0,0
118588057,3456,-0.004125,-0.034875,0.0045,0.034875,0.004312,0.003,0.0045,0.002812,0,0,0,0,0,0
118690872,3457,-0.00375,-0.028688,0.004125,0.028687,0.002625,0.0015,0.002625,0.0015,0,0,0,0,0,0
118690872,3460,-0.001312,-0.0075,0.001688,0.006938,0.000187,0,0.00075,-0.000188,0,0,0,0,0,0
118827925,3461,-0.001312,-0.00075,0.000938,0.000563,-0.001125,-0.000938,-0.000563,-0.000937,0,0,0,0,0,0
118827925,3463,-0.001312,-0.00075,0.000938,0.000563,-0.001125,-0.000938,-0.000563,-0.000937,0,0,0,0,0,0
118930625,3464,0,0.000563,0.000188,-0.000563,-0.000375,-0.000375,0,-0.000188,0,0,0,0,0,0
118964840,3467,0.000375,0.001875,-0.000563,-0.001875,-0.000188,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
119170182,3471,0.000187,0.001125,-0.000187,-0.001125,0,0,0.000187,0,0,0,0,0,0,0
119204400,3474,-0.000188,0.00525,0.000188,-0.005438,0,0,0.000187,0.000188,0,0,0,0,0,0
119307111,3475,-0.000563,0.008437,0.00075,-0.009187,0.000375,0.000375,0.000562,0.000563,0,0,0,0,0,0
119307111,3478,0.000375,0.016313,0.000188,-0.017625,0.001312,0.001687,0.001687,0.001688,0,0,0,0,0,0
119444144,3479,-0.000375,0.02175,0.001125,-0.023062,0.000938,0.001687,0.001687,0.001688,0,0,0,0,0,0
119546937,3482,0.001312,0.045563,0,-0.048375,0.001875,0.00375,0.002812,0.003375,0,0,0,0,0,0
119581180,3485,0.003563,0.066,-0.0015,-0.068813,0.0045,0.006937,0.00525,0.005813,0,0,0,0,0,0
119683980,3486,0.002812,0.066,-0.000937,-0.068625,0.004125,0.00675,0.005437,0.006,0,0,0,0,0,0
119683980,3488,0.002812,0.074438,-0.000187,-0.078,0.004875,0.007875,0.006188,0.006562,0,0,0,0,0,0
119786768,3489,0.002062,0.073875,0.000563,-0.076875,0.004875,0.007688,0.006375,0.006562,0,0,0,0,0,0
119821038,3491,0.002062,0.073875,0.000563,-0.076875,0.004875,0.007688,0.006375,0.006562,0,0,0,0,0,0
119889578,3492,0.001312,0.069188,0.001688,-0.072563,0.00525,0.009,0.007687,0.007125,0,0,0,0,0,0
120026653,3496,0.001875,0.0915,0.001875,-0.096375,0.006,0.0105,0.00825,0.008063,0,0,0,0,0,0
120060921,3499,0.001687,0.09675,0.00225,-0.100875,0.005437,0.009375,0.0075,0.007875,0,0,0,0,0,0
120163721,3500,0.002062,0.111188,0.002063,-0.11625,0.005812,0.0105,0.007875,0.009,0,0,0,0,0,0
120197993,3503,0.002625,0.12225,0.002438,-0.126937,0.007875,0.012375,0.00975,0.010875,0,0,0,0,0,0
120300804,3504,0.005812,0.12225,0.004313,-0.131437,0.007312,0.012,0.009562,0.0105,0,0,0,0,0,0
120300804,3506,0.005812,0.12225,0.004313,-0.131437,0.007312,0.012,0.009562,0.0105,0,0,0,0,0,0
